handle,wallet,chain,source
chargegame,0x7f3706f95f02705ab83e0073dbc8260e2c179755,Base,hodlers+amount+rpc
kadenkel1515,0x2674623462f1bc747382ec72644b8375747a0871,Base,hodlers+amount+rpc
monishm83,0x5fe7dff191e2437b03c124c8d4dae23f19463da7,Base,hodlers+amount+rpc
mperla,0x48edc3766e94622e38f250ddda67f074bc9c8766,Base,hodlers+amount+rpc
clearfitrat,0x8de3befeea09af3d7c2e33cec329d54a8b4b471d,Base,hodlers+amount+rpc
mandosprime,0xce6bced5c0f2da201ffe196d7f0c99cbb37688db,Base,hodlers+amount+rpc
gabekzn,0x94fe3d460a4e904d2b51427dfc587b12a7f7f263,Base,hodlers+amount+rpc
necromancer67,0xc3eb601e2d4e374d0a55726360d2b662b59abb85,Base,hodlers+amount+rpc
nortino,0x3e3d11c023c4b190cd7865f36009aafc6dd2459c,Base,hodlers+amount+rpc
mintatonic,0xcdc8c0aadb1b0e3ff6c4c88539ac17deb0f7b027,Base,hodlers+amount+rpc
_jr49,0xeb7a2fc02df34777ed9daa4865ae7cd43cc97209,Base,hodlers+amount+rpc
nandooutthebando,0x236bdf182d8bf92e2b43f7433f9648bbd14eedeb,Base,hodlers+amount+rpc
swiftenstein,0x51d4e8b6cf272ded3ab6386edc6473991bbd2c81,Base,hodlers+amount+rpc
israel12778697,0x6738ed761dfe1312a4f0388f81fc4d858431fd73,Base,hodlers+amount+rpc
octopus27,0x6ac986adfba1f80103e968fd4c1b5ee34242d3a8,Base,hodlers+amount+rpc
lejyonas,0x77c0cd5df0e7208d4becaf16e92067f2c008af8a,Base,hodlers+amount+rpc
anonymoumonkey,0x2c441bd535adcf638c03537a274d1ba66ea3b6db,Base,hodlers+amount+rpc
leveluptheory,0x674c143ddf9d40a6133401acf2caaadd366d9072,Base,hodlers+amount+rpc
zeustyy_,0xd026f7a62fad79952d2f136ebd598a71b0053da1,Base,hodlers+amount+rpc
b3ns,0xc0a6f0edc14862773590cd6372726072f93f7098,Base,hodlers+amount+rpc
kimthejong,0xa97f98d15f18988e50e9d6741cd40410ad92d35e,Base,hodlers+amount+rpc
ekonomeest,0x86adce3344e0b7a33aa8dfe80076a2ce5faa535b,Base,hodlers+amount+rpc
frogmanhaha,0x14aa2a71dbb5ef87b81f92205e2699aa4aa65794,Base,hodlers+amount+rpc
montyinfull,0xd750158927f791eab81a5a551c82a958a585c689,Base,hodlers+amount+rpc
peacee,0x059bc2bbf829d48b6d56f768c5e64b9162174c19,Base,hodlers+amount+rpc
b3nss,0xc022962bc1e4ea7bf989410e070fbf87c3b0aff2,Base,hodlers+amount+rpc
retirementar,0x844db40d0a9863612f98d1b2ce37bdc719037c42,Base,hodlers+amount+rpc
alam1,0x47b7614199f3db1660e34479ad38d9a46c626552,Base,hodlers+amount+rpc
samflintstone,0x4a1281eb29bc0061123dbbe9da699e3f255ebee7,Base,hodlers+amount+rpc
bas3god,0xb8551d2b71f10c6f88ddef8f67dd4301c417ae83,Base,hodlers+amount+rpc
trenchooor,0x072b783eb6f3f748fee44ce401fe0a7421095a20,Base,hodlers+amount+rpc
whimsybrookie,0xb1f996ded341aab7c1cfde07120324df503d78fb,Base,hodlers+amount+rpc
uhohspaghetti,0x9fe5fdb24746b8ab30cb3688993e27d319aa65aa,Base,hodlers+amount+rpc
muntjess,0x4cb724ca75e01d36907bee67fe31dff3c98608e1,Base,hodlers+amount+rpc
8figshumanbeing,0xf69ab9e071b448762d3bf43dff500f5868408e3c,Base,hodlers+amount+rpc
